Wavenumber	Intensity	Normalized Intensity
cm\+(-1)		
Coupled  E1030 = 76uJ		Normalize to [0, 1] of "Intensity"
3600.06079	4.704774619E-5	0.0470560509438602
3600.183232	4.872279897E-5	0.0511153986639361
3600.305675	4.953574535E-5	0.0530855049636295
3600.428117	4.365986752E-5	0.0388458155893909
3600.55056	3.546873995E-5	0.0189953156987963
3600.673003	3.858082346E-5	0.026537184977091
3600.795445	4.596063445E-5	0.0444215282494549
3600.917888	4.957633428E-5	0.0531838687778467
3601.04033	4.648375761E-5	0.0456892726645682
3601.162773	4.234964217E-5	0.0356705960674674
3601.285216	4.087968045E-5	0.0321082690602666
3601.407658	4.07364787E-5	0.0317612318180292
3601.530101	4.560494199E-5	0.0435595378729193
3601.652543	5.022894402E-5	0.0547654128890527
3601.774986	5.201006206E-5	0.0590818007313869
3601.897429	5.268886162E-5	0.060726813640338
3602.019871	5.474797945E-5	0.0657169102918466
3602.142314	5.687644443E-5	0.0708750638539238
3602.264756	5.499583131E-5	0.0663175581608693
3602.387199	5.097564645E-5	0.056574982619026
3602.509642	4.497378177E-5	0.042029974846219
3602.632084	4.696310498E-5	0.0468509301817324
3602.754527	5.140340727E-5	0.0576116245267543
3602.876969	4.963875472E-5	0.053335139396794
3602.999412	4.579239612E-5	0.0440138169883716
3603.121854	4.67749669E-5	0.0463949935717186
3603.244297	5.103545482E-5	0.0567199231088421
3603.36674	5.564855383E-5	0.067899375584798
3603.489182	5.3927306E-5	0.0637280780962519
3603.611625	4.78020811E-5	0.0488841173389276
3603.734067	4.140098463E-5	0.0333716053323028
3603.85651	3.858836135E-5	0.0265554524113779
3603.978953	4.03594895E-5	0.030847630606303
3604.101395	4.258075933E-5	0.0362306888166144
3604.223838	4.330780939E-5	0.0379926327020136
3604.34628	4.342794637E-5	0.0382837744389682
3604.468723	4.16811672E-5	0.0340506039228633
3604.591166	4.194113717E-5	0.034680618999169
3604.713608	4.1802341E-5	0.0343442583047646
3604.836051	4.060408173E-5	0.0314403790396979
3604.958493	4.076077312E-5	0.0318201072753372
3605.080936	4.447873653E-5	0.0408302748783599
3605.203379	4.967823043E-5	0.0534308054171727
3605.325821	4.999186422E-5	0.0541908701898035
3605.448264	4.555109626E-5	0.0434290473332055
3605.570706	4.012848513E-5	0.0302878111941129
3605.693149	4.211501073E-5	0.0351019867601105
3605.815592	4.880064807E-5	0.0513040593260766
3605.938034	5.390137449E-5	0.0636652352907872
3606.060477	5.015845454E-5	0.0545945876390404
3606.182919	4.276118125E-5	0.0366679259701826
3606.305362	3.84686864E-5	0.0262654303647695
3606.427805	4.100316073E-5	0.0324075129999664
3606.550247	4.319905565E-5	0.0377290772774982
3606.67269	4.047131006E-5	0.0311186182078362
3606.795132	3.848736014E-5	0.0263106845829048
3606.917575	3.821060454E-5	0.0256399909622069
3607.040017	3.858531272E-5	0.0265480643162757
3607.16246	4.360879757E-5	0.0387220519160475
3607.284903	4.834324136E-5	0.0501955731293694
3607.407345	5.079567927E-5	0.05613884748911
3607.529788	5.011700341E-5	0.0544941343565712
3607.65223	4.822867413E-5	0.0499179292070711
3607.774673	4.384423664E-5	0.03929261844591
3607.897116	3.985357398E-5	0.0296215874408674
3608.019558	3.736541112E-5	0.0235917367080932
3608.142001	3.870216096E-5	0.0268312360719972
3608.264443	4.152385372E-5	0.0336693681051029
3608.386886	4.300748333E-5	0.037264818079396
3608.509329	4.216507295E-5	0.0352233082856441
3608.631771	4.362661275E-5	0.0387652254871607
3608.754214	4.554009138E-5	0.0434023779439952
3608.876656	4.735454422E-5	0.047799549834447
3608.999099	4.819167953E-5	0.0498282759454198
3609.121542	4.327396891E-5	0.0379106231814932
3609.243984	3.6055706E-5	0.020417777919258
3609.366427	3.128276512E-5	0.00885096228776194
3609.488869	3.576727977E-5	0.0197188015209379
3609.611312	4.119964797E-5	0.0328836830880027
3609.733755	4.51194901E-5	0.0423830865715591
3609.856197	4.663276923E-5	0.0460503896318268
3609.97864	4.570434248E-5	0.0438004264928325
3610.101082	4.70574596E-5	0.0470795905655417
3610.223525	5.150510333E-5	0.0578580762650104
3610.345967	5.296378731E-5	0.0613930726300349
3610.46841	4.876235471E-5	0.0512112586302023
3610.590853	4.223846918E-5	0.0354011777966649
3610.713295	3.945259596E-5	0.0286498513674001
3610.835738	4.415709918E-5	0.0400508141598661
3610.95818	5.274802243E-5	0.0608701848236576
3611.080623	5.975482418E-5	0.0778505719783156
3611.203066	6.043920439E-5	0.0795091091171445
3611.325508	5.159486682E-5	0.058075610436368
3611.447951	4.449162589E-5	0.0408615111443175
3611.570393	4.570354213E-5	0.0437984869127867
3611.692836	4.589306263E-5	0.0442577736999067
3611.815279	4.183319834E-5	0.034419038439619
3611.937721	3.881940938E-5	0.0271153776298588
3612.060164	4.25986691E-5	0.0362740916185348
3612.182606	4.738450662E-5	0.0478721611584484
3612.305049	4.495403482E-5	0.0419821197950719
3612.427492	3.693626422E-5	0.0225517357535605
3612.549934	2.952877549E-5	0.00460031783608249
3612.672377	3.101933908E-5	0.00821257172022257
3612.794819	3.585819286E-5	0.0199391216499648
3612.917262	3.780166298E-5	0.0246489559279376
3613.039705	4.091075243E-5	0.0321835693568765
3613.162147	4.367401198E-5	0.0388800934832807
3613.28459	5.060452531E-5	0.0556756021508291
3613.407032	5.215640704E-5	0.0594364553237679
3613.529475	4.707513654E-5	0.0471224291237911
3613.651918	4.48698629E-5	0.0417781363172818
3613.77436	4.973772229E-5	0.0535749788719662
3613.896803	5.055387737E-5	0.055552861182771
