2016.53743	9.13E-4
2019.52193	7.58E-4
2022.50643	7.52E-4
2025.49093	7.01E-4
2028.47543	6.13E-4
2031.45993	4.84E-4
2034.44443	4.75E-4
2037.42893	5.81E-4
2040.41343	6.01E-4
2043.39793	6.58E-4
2046.38243	6.73E-4
2049.36693	5.52E-4
2052.35143	4.65E-4
2055.33593	3.11E-4
2058.32043	2.73E-4
2061.30493	2.16E-4
2064.28943	2.38E-4
2067.27393	2.08E-4
2070.25843	2.08E-4
2073.24293	2.07E-4
2076.22743	1.87E-4
2079.21193	1.69E-4
2082.19643	1.38E-4
2085.18093	1.47E-4
2088.16543	1.71E-4
2091.14993	1.29E-4
2094.13443	1.49E-4
2097.11893	1.12E-4
2100.10343	1.29E-4
2103.08793	1.18E-4
2106.07243	1.22E-4
2109.05693	1.1E-4
2112.04143	1.18E-4
2115.02593	7.2E-5
2118.01043	9.6E-5
2120.99493	8.1E-5
2123.97943	9.6E-5
2126.96393	1.22E-4
2129.94843	6.6E-5
2132.93293	6.6E-5
2135.91743	1.07E-4
2138.90193	8.2E-5
2141.88643	8.7E-5
2144.87093	9E-5
2147.85543	8.1E-5
2150.83993	1.05E-4
2153.82443	9.7E-5
2156.80893	7.7E-5
2159.79343	7.5E-5
2162.77793	1.1E-4
2165.76243	8.2E-5
2168.74693	9.9E-5
2171.73143	8.4E-5
2174.71593	7.2E-5
2177.70043	8.7E-5
2180.68493	1.02E-4
2183.66943	1.15E-4
2186.65393	9.4E-5
2189.63843	9.9E-5
2192.62293	8.6E-5
2195.60743	8.5E-5
2198.59193	1.09E-4
2201.57643	1.2E-4
2204.56093	1.06E-4
2207.54543	1.11E-4
2210.52993	7.3E-5
2213.51443	1E-4
2216.49893	8.8E-5
2219.48343	9.3E-5
2222.46793	1.19E-4
2225.45243	1.1E-4
2228.43693	1.12E-4
2231.42143	1.32E-4
2234.40593	1.51E-4
2237.39043	1.84E-4
2240.37493	1.72E-4
2243.35943	1.6E-4
2246.34393	1.64E-4
2249.32843	1.57E-4
2252.31293	1.67E-4
